title,artist,category_text,url,paragraphs_checked,match_found,match_last_line,match_paragraph_snippet,youtube_covers_recent
Ai yo Koi yo Suiheisen de FLASH!!,Aki Misato,Shinryaku!? Ika Musume Season 2 (anime),https://animelyricsaz.com/anime/shinryaku-ika-musume-2nd-season/ai-yo-koi-yo-suiheisen-de-flash/894-13252,34,True,kimi wa mujaki na aozora,kimi wa mujaki na aozora,
Aozora,Lia,Air (anime),https://animelyricsaz.com/anime/air/aozora/28-2825,16,True,Hitomi wo tojireba futto ano hi no aozora.,Hitomi wo tojireba futto ano hi no aozora.,
BEAUTIFUL BEAST,DEVIL NO ID,Baki (ONA) (anime),https://animelyricsaz.com/anime/baki-ona/beautiful-beast/3541-38154,105,True,Misaseru aozora,Misaseru aozora,
BRAND NEW BLUE,Ryota Oosaka,Daiya no A ~Second Season~ (anime),https://animelyricsaz.com/anime/daiya-no-a-second-season/brand-new-blue/1503-23643,33,True,Wasuremono nado nai sa aozora,Wasuremono nado nai sa aozora,
chocolate insomnia,Horie Yui,Monogatari Series Second Season (anime),https://animelyricsaz.com/anime/monogatari-series-second-season/chocolate-insomnia/671-6982,26,True,Kumo hitotsu nai hajimete no aozora,Kumo hitotsu nai hajimete no aozora,
Colorful Days,Eri Kitamura,Working!! (anime),https://animelyricsaz.com/anime/working/colorful-days/1056-43940,56,True,Sunda aozora,Sunda aozora,
Endless Soul ~Owarinaki Senshi~,Aya Endo,Ikkitousen Xtreme Xecutor (anime),https://animelyricsaz.com/anime/ikkitousen-xtreme-xecutor/endless-soul-owarinaki-senshi/459-2940,33,True,fuku kaze sora o kakenukete kumo o saki nozoku aozora,fuku kaze sora o kakenukete kumo o saki nozoku aozora,
Everybody Can Do!,TOKIO,Kochikame (anime),https://animelyricsaz.com/anime/kochikame/everybody-can-do/1826-23708,48,True,Sore demo te wo nobaseba aozora,Sore demo te wo nobaseba aozora,
Faint Love,Megumi Hayashibara,Asagiri no Miko (anime),https://animelyricsaz.com/anime/asagiri-no-miko/faint-love/60-9606,53,True,Hirogaru aozora,Hirogaru aozora,
go to Romance>>>>>,Luce Twinkle Wink☆,Urara Meirocho (anime),https://animelyricsaz.com/anime/urara-meirocho/go-to-romance/2601-29006,48,True,Ikidzumattara aozora,Ikidzumattara aozora,
