year,award,title
2000,Honor,A Child's Calendar illustrated
2000,Honor,The Ugly Duckling illustrated
2001,Honor,Casey at the Bat illustrated
2001,Honor,"Click, Clack, Moo: Cows that Type illustrated"
2002,Honor,"Martin's Big Words: the Life of Dr. Martin Luther King, Jr. illustrated"
2002,Honor,The Dinosaurs of Waterhouse Hawkins illustrated
2003,Honor,The Spider and the Fly illustrated
2005,Honor,2004 Medal Winner: The Man Who Walked Between the Towers
2005,Honor,Coming on Home Soon illustrated
2005,Honor,Knuffle Bunny: A Cautionary Tale illustrated and written
2005,Honor,What Do You Do with a Tail Like This? illustrated and written
2006,Honor,Hot Air: The
2006,Honor,Rosa illustrated
2006,Honor,Song of the Water Boatman and Other Pond Poems illustrated
2006,Honor,Zen Shorts illustrated and written
2007,Honor,Gone Wild: An Endangered Animal Alphabet
2007,Honor,Moses: When Harriet Tubman Led Her People to Freedo m illustrated
2008,Honor,Henry's Freedom Box: A True Story from the Undergro und Railroad illustrated
2008,Honor,Knuffle Bunny Too: A Case of Mistaken Identity
2008,Honor,The Wall: Growing Up Behind the Iron Curtain
2009,Honor,"A River of Words: The Story of William Carlos Williams, illustrated"
2010,Medal,"Red Sings from Treetops: A Year in Colors, illustrated"
2011,Honor,"Dave the Potter: Artist, Poet, Slave , illustrated"
2013,Honor,"Creepy Carrots! , illustrated"
2013,Honor,"Extra Yarn , illustrated"
2013,Honor,"Green , illustrated and written"
2013,Honor,"One Cool Friend , illustrated"
2013,Honor,"Sleep Like a Tiger , illustrated"
2014,Honor,"Flora and the Flamingo , written and illustrated"
2014,Honor,"Journey , written and illustrated"
2014,Honor,Mr. Wuffles! written and illustrated
2015,Honor,Nana in the City written and illustrated
2015,Honor,"Sam & Dave Dig a Hole , illustrated"
2015,Honor,"The Noisy Paint Box: The Colors and Sounds of Kandinsky’s Abstract Art , illustrated"
2015,Honor,"The Right Word: Roget and His Thesaurus , illustrated"
2015,Honor,"This One Summer , illustrated"
2015,Honor,"Viva Frida , written and illustrated"
2016,Honor,"Last Stop on Market Street , illustrated"
2016,Honor,"Trombone Shorty , illustrated"
2016,Honor,"Voice of Freedom: Fannie Lou Hamer, Spirit of the Civil Rights Movement , illustrated"
2016,Honor,"Waiting , illustrated and written"
2017,Honor,Du Iz Tak? illustrated and written
2017,Honor,"Freedom in Congo Square, illustrated"
2017,Honor,Leave Me Alone! illustrated and written
2017,Honor,"They All Saw a Cat, illustrated and written"
2018,Honor,"A Different Pond , illustrated"
2018,Honor,"Big Cat, Little Cat , illustrated and written"
2018,Honor,"Crown: An Ode to the Fresh Cut , illustrated"
2018,Honor,"Grand Canyon , illustrated and written"
2018,Medal,"Wolf in the Snow , illustrated and written"
2019,Honor,"A Big Mooncake for Little Star, illustrated and written"
2019,Honor,"Alma and How She Got Her Name , illustrated and written"
2019,Honor,"Thank You, Omu!, illustrated and written"
2019,Honor,"The Rough Patch, illustrated and written"
2019,Medal,"Hello Lighthouse , illustrated and written"
2020,Honor,"Bear Came Along , illustrated"
2020,Honor,"Double Bass Blues , illustrated"
2020,Honor,"Going Down Home with Daddy , illustrated"
2020,Medal,"The Undefeated , illustrated"
2021,Honor,"A Place Inside of Me: A Poem to Heal the Heart , illustrated"
2021,Honor,"Me & Mama , illustrated and written"
2021,Honor,"Outside In , illustrated"
2021,Medal,"We Are Water Protectors , illustrated"
2022,Honor,Have You Ever Seen a Flower? Illustrated and written
2022,Honor,"Mel Fell , illustrated and written"
2022,Honor,"Unspeakable: The Tulsa Race Massacre , illustrated"
2022,Honor,"Wonder Walkers , illustrated and written"
2022,Medal,"Watercress , illustrated"
2023,Honor,"Ain’t Burned All the Bright , illustrated"
2023,Honor,"Berry Song , illustrated and written"
2023,Honor,"Choosing Brave: How Mamie Till-Mobley and Emmett Till Sparked the Civil Rights Movement , illustrated"
2023,Honor,"Knight Owl , illustrated and written"
2023,Medal,"Hot Dog , illustrated and written"
