word,zipf,length,start,direction,path
AND,7.41,3,E5-L2,N+W+IN,E5-L2 -> D4-L3 -> C3-L4
AND,7.41,3,E1-L4,IN,E1-L4 -> E1-L5 -> E1-L6
WAS,6.82,3,C3-L6,S+E,C3-L6 -> D4-L6 -> E5-L6
ARE,6.74,3,B1-L2,S,B1-L2 -> B2-L2 -> B3-L2
ARE,6.74,3,D3-L3,N+W+IN,D3-L3 -> C2-L4 -> B1-L5
ONE,6.47,3,C4-L3,E,C4-L3 -> D4-L3 -> E4-L3
ONE,6.47,3,D1-L5,W,D1-L5 -> C1-L5 -> B1-L5
CAN,6.46,3,B1-L1,IN,B1-L1 -> B1-L2 -> B1-L3
CAN,6.46,3,E5-L1,N+W+IN,E5-L1 -> D4-L2 -> C3-L3
WHO,6.34,3,C3-L6,N,C3-L6 -> C2-L6 -> C1-L6
HAD,6.33,3,C2-L2,S+E+IN,C2-L2 -> D3-L3 -> E4-L4
NEW,6.25,3,A1-L4,S+E+IN,A1-L4 -> B2-L5 -> C3-L6
HOW,6.24,3,E2-L2,S,E2-L2 -> E3-L2 -> E4-L2
OUR,6.14,3,F4-L4,S+W+IN,F4-L4 -> E5-L5 -> D6-L6
INTO,6.11,4,C3-L2,S+E+IN,C3-L2 -> D4-L3 -> E5-L4 -> F6-L5
TOO,5.95,3,F6-L4,N,F6-L4 -> F5-L4 -> F4-L4
OFF,5.93,3,F3-L2,IN,F3-L2 -> F3-L3 -> F3-L4
END,5.68,3,C4-L6,E+OUT,C4-L6 -> D4-L5 -> E4-L4
LET,5.60,3,E3-L4,IN,E3-L4 -> E3-L5 -> E3-L6
TOP,5.57,3,D6-L4,E+IN,D6-L4 -> E6-L5 -> F6-L6
TOP,5.57,3,F6-L4,IN,F6-L4 -> F6-L5 -> F6-L6
YET,5.54,3,C6-L6,W+OUT,C6-L6 -> B6-L5 -> A6-L4
FAR,5.50,3,F3-L3,N,F3-L3 -> F2-L3 -> F1-L3
TRY,5.50,3,E6-L6,W,E6-L6 -> D6-L6 -> C6-L6
RUN,5.49,3,B6-L1,N+E+IN,B6-L1 -> C5-L2 -> D4-L3
RUN,5.49,3,E6-L4,N+IN,E6-L4 -> E5-L5 -> E4-L6
WAR,5.46,3,E4-L2,N+W+IN,E4-L2 -> D3-L3 -> C2-L4
CAR,5.45,3,E5-L1,W,E5-L1 -> D5-L1 -> C5-L1
CAR,5.45,3,E6-L1,IN,E6-L1 -> E6-L2 -> E6-L3
AGO,5.42,3,D3-L3,IN,D3-L3 -> D3-L4 -> D3-L5
WIN,5.39,3,C3-L1,IN,C3-L1 -> C3-L2 -> C3-L3
AIR,5.37,3,D4-L2,N+W,D4-L2 -> C3-L2 -> B2-L2
AIR,5.37,3,D4-L4,N+E+OUT,D4-L4 -> E3-L3 -> F2-L2
ASK,5.34,3,D4-L2,S+W+IN,D4-L2 -> C5-L3 -> B6-L4
